project_id,fiscal_year,operating_unit,region,budget,expenditure,outcome,donor
00012189,2011,"Cuba","Reg Bur Latin Amer & Carib",118286.13,24237.66,23,"UN,NOR"
00012210,2011,"Cuba","Reg Bur Latin Amer & Carib",67086.7,42390.13,11,"OPEC,CUB-FCANAD,CUB-AMISTA,CAN,UKM,CREMONA,SPA,DIAKONIA S,CUB-HEGOA,IFC,ETEA,NGO(INTL),TRENTO  DE,LOMBARDIA"
00012212,2010,"Cuba","Reg Bur Latin Amer & Carib",7424.42,7424.42,11,"SWI,UNDP"
00012218,2010,"Cape Verde","Reg Bureau for Africa",4503,4503,"","LUX"
00012220,2010,"Cape Verde","Reg Bureau for Africa",9273,8026.54,"","AUS,UNDP"
00012220,2011,"Cape Verde","Reg Bureau for Africa",1246.68,425.65,11,"AUS,UNDP"
00012221,2010,"Cape Verde","Reg Bureau for Africa",21835,17057.16,"","CVI,UNDP,AUS,POR"
00012221,2011,"Cape Verde","Reg Bureau for Africa",8136.42,8469.89,11,"CVI,AUS,UNDP,POR"
00012224,2010,"Cape Verde","Reg Bureau for Africa",2204,2198.56,6,"POR"
00012224,2011,"Cape Verde","Reg Bureau for Africa",5.86,2.37,6,"POR"
00012227,2010,"Cape Verde","Reg Bureau for Africa",665490,315245.411,25,"UNDP(JPAA),UNDP,CVI"
00012227,2011,"Cape Verde","Reg Bureau for Africa",461354.4,443290.01,25,"UNDP,CVI,UNDP(JPAA)"
00012245,2010,"Democratic Republic of Congo","Reg Bureau for Africa",71142.89,10690.22,25,"UNDP,GEFTrustee"
00012250,2010,"Democratic Republic of Congo","Reg Bureau for Africa",2396463.27,2182211.4,1,"UNDP,CIDA,UNDP(JPAA),DFID,UNDESA,WFP,GFATM"
00012250,2011,"Democratic Republic of Congo","Reg Bureau for Africa",1616239.89,1506966.59,1,"UNDP(JPAA),DFID,UNDP"
00012251,2011,"Democratic Republic of Congo","Reg Bureau for Africa",58216,31855.06,19,"UNDP,NOR"
00012252,2010,"Democratic Republic of Congo","Reg Bureau for Africa",1026013.37,599048.156,19,"DFID,DFID,JPN,EU,EBRD,IRE,FRA,SPA,SIDA,NOR,UNDP,UNDP,IBRD,BEL"
00012252,2011,"Democratic Republic of Congo","Reg Bureau for Africa",475512.91,401455.39,19,"IBRD,JPN,EU,SPA,UNDP,BEL,NOR,DFID,DFID,EBRD,FRA,IRE,SIDA"
00012253,2010,"Democratic Republic of Congo","Reg Bureau for Africa",0,1432.41,1,"UNDP,BEL,POL,IBRD,UNIDO,IDB,JPN,CAN,CIDA,NOR"
00012253,2011,"Democratic Republic of Congo","Reg Bureau for Africa",0,12885.6,19,"SPA"
00012254,2010,"Democratic Republic of Congo","Reg Bureau for Africa",282271.35,30874.32,19,"UPU,JPN,UNDP,IBRD"
00012262,2011,"Democr People's Repub of Korea","Reg Bureau for Asia & Pacific",2050,1533.76,5,"GER,UNDP"
00012271,2010,"Democr People's Repub of Korea","Reg Bureau for Asia & Pacific",3500,2356.49,"","UNDP"
00012278,2010,"Ecuador","Reg Bur Latin Amer & Carib",3008016.8,2898778.8,1,"MEC,UNDP,UNDP"
00012278,2011,"Ecuador","Reg Bur Latin Amer & Carib",1167538,602157.82,1,"UNDP,MEC"
00012282,2011,"Ecuador","Reg Bur Latin Amer & Carib",1906681,3086770.08,"","DGAC"
00012283,2010,"Ecuador","Reg Bur Latin Amer & Carib",156734.22,110834.22,1,"MSD,KEN,NEW MUN,MSP"
00012283,2011,"Ecuador","Reg Bur Latin Amer & Carib",24085.96,4754.71,1,"KEN,MSP,MSD,NEW MUN"
00012286,2010,"Ecuador","Reg Bur Latin Amer & Carib",10400,19952.2,"","UNDP,UNDP,IESS"
00012293,2010,"Ecuador","Reg Bur Latin Amer & Carib",451573.64,385428.99,0,"UNDP,GEF,GEFTrustee"
00012293,2011,"Ecuador","Reg Bur Latin Amer & Carib",160544.65,162179.9,0,"GEFTrustee,GEF,UNDP"
00012295,2010,"Ecuador","Reg Bur Latin Amer & Carib",402850.18,264238.22,11,"MUN.GUAY,UNDP,UNDP"
00012295,2011,"Ecuador","Reg Bur Latin Amer & Carib",198513,71399.26,11,"MUN.GUAY,UNDP"
00012326,2010,"Egypt","Reg Bur for Arab States",53772.07,56278.8,23,"EGY,GEFTrustee"
00012326,2011,"Egypt","Reg Bur for Arab States",4502.12,693.17,23,"EGY,GEFTrustee"
00012329,2011,"Egypt","Reg Bur for Arab States",0,5.51,14,"NET,NET,DEN,FORD FOUND"
00012347,2010,"Egypt","Reg Bur for Arab States",550000,513619.78,23,"GEFTrustee,UNDP"
00012347,2011,"Egypt","Reg Bur for Arab States",477000,430261.66,23,"GEFTrustee,UNDP"
00012357,2010,"Egypt","Reg Bur for Arab States",504740.32,460684.07,11,"GOPP,UNDP"
00012357,2011,"Egypt","Reg Bur for Arab States",412000,412756.6,11,"UNDP,GOPP"
00012358,2010,"Egypt","Reg Bur for Arab States",1282.93,1004.1,23,"GEFTrustee"
00012360,2010,"Egypt","Reg Bur for Arab States",98698,14630.21,11,"EGY"
00012360,2011,"Egypt","Reg Bur for Arab States",84067.88,3644.39,11,"EGY"
00012362,2010,"Egypt","Reg Bur for Arab States",443239.44,305728.71,15,"EU"
00012375,2010,"Egypt","Reg Bur for Arab States",290000,259937.71,1,"UNDP"
00012375,2011,"Egypt","Reg Bur for Arab States",36803.37,35317.82,1,"UNDP"
00012379,2010,"Egypt","Reg Bur for Arab States",1980.21,24.7,11,"GOPP"
00012403,2010,"El Salvador","Reg Bur Latin Amer & Carib",3827997.5,3733067.38,3,"ELS,GOES,UNDP,ERI"
00012403,2011,"El Salvador","Reg Bur Latin Amer & Carib",1309789.37,1283304.54,3,"UNDP,ERI,GOES,ELS"
00012408,2011,"El Salvador","Reg Bur Latin Amer & Carib",3472.77,3472.77,"","EU,UNDP"
00012444,2010,"Eritrea","Reg Bureau for Africa",45.49,46.08,22,"NOR,NET"
00012446,2010,"Eritrea","Reg Bureau for Africa",250000,243380.85,1,"UNDP"
00012446,2011,"Eritrea","Reg Bureau for Africa",500000,478695.82,1,"UNDP"
